Nid,Original ID,Name,Project acronym,Visual,Project description,Results,Coordinators,Partners,Project address(es),Project postal code(s),Project town(s),Project country(ies),Project location latitude,Project location longitude,Link to a video,Timeframe start,Timeframe end,Project webpage,Related links,EU Budget MFF heading,Programme name,Funding area,EC’s priorities,EU Budget contribution,Total project budget,Author,Language
106,,e-Volve,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/evolve.jpg,"<p>The e-Volve project aimed to improve e-government and e-business skill levels in Cyprus. It aimed to achieve this by helping companies and organisations to adopt best e-business practices. An e-business awareness campaign to promote e-business practices to the business world and the general public was implemented and included, among other initiatives, the production of educational films, through which the available e-Government services, e-banking, e-learning and other e-business good practices were presented and promoted.</p>",Over 800 companies and organisations have received training and consultancy services on e-business related issues. More than 3 400 persons have attended the regular training programmes offered in Nicosia and Limassol.,"Cyprus Productivity Centre, Cyprus",,Nicosia,,Nicosia,CY,35.1855659,33.3822764,,1230764400 to 1420066800,1230764400 to 1420066800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=277"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Competitiveness;Education & training;Investment for growth;Information and communications technology - ICT;Business,"Jobs, Growth and Investment",798880,1049174,DG EMPL,English
107,,EFEKT - Through Efficient Qualification to the Labour Market,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/effekt.jpg,"<p>The ESF-funded 'EFEKT' project ('Through Efficient Qualification to the Labour Market') meant to help unemployed individuals in the South Bohemia Region to find jobs, with the focus being on people under 25 and over 50. The aim was to give disadvantaged jobseekers a foothold in the labour market and to stimulate them to look for new and better positions. Key activities included motivational sessions, training in computer skills and specific courses in trade and industry, project management, and other business skills.</p>
<p> </p>","The project aimed to improve the job prospects of 164 disadvantaged citizens in a remote area. Around a sixth of the participants went directly into employment after following the course and within the project itself, ten jobs were created.","VIA ALTA a.s., Czech Republic",,Bohemia,,Bohemia,CZ,48.9457789,14.4416055,,1262300400 to 1325372400,1262300400 to 1325372400,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://www.via-alta.cz/"">VIA ALTA a.s.</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=238"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",208699,245512,DG EMPL,English
109,,Hold Fast to the Young,,,"<p>The 'Hold Fast' project played a major role in encouraging young Danes to stay on at school and get the qualifications they need for a good job. The integrated approach of 'Hold Fast' follows school children from before the age they enter secondary school to when they leave, with the focus on identifying those at most risk of dropping out. The aim is to help these young people participate fully in working life. The tools available include introductory courses to overcome fears, training and mentoring, and other insertion schemes.</p>
<p> </p>","More than 20 000 young people from the Region Southern and Central Denmark Region have since the summer of 2009 participated in project activities intended to facilitate the transition from primary to secondary education, as well as strengthen retention efforts and the completion rate. Approximately 2 500 employees from 160 project partners have been directly involved in the project 'Hold Fast'. The participating regions experienced a clear improvement in the so-called profile number, an indicator for young peoples' achievement in education.","Campus Vejle, Denmark",,Region Syddanmark,7100,Vejle,DK,55.7233652,9.5163575,,1230764400 to 1356994800,1230764400 to 1356994800,http://viholderfast.nu/,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=323"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",3031000,6284000,DG EMPL,English
110,,Entrepreneurship in Denmark,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/denmark2.jpg,"<p>Ethnic Danish-owned SMEs grow more and survive longer than non-ethnic Danish-owned SMEs, according to 'Entrepreneurship in Denmark'. With the help of the ESF, this organisation seeks to help non-ethnic Danes realise their full potential by offering free counselling when they are setting up a business. The organisation has identified a number of barriers it wants to remove which prevent non-ethnic Danish entrepreneurs from becoming successful, including information, financial and linguistic difficulties.</p>","In total, more than 3000 participants took part in the project.",Entrepreneurship in Denmark,,Katrinebjerg,8000,Aarhus,DK,56.1701847,10.2034395,,1262300400 to 1388530800,1262300400 to 1388530800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=257"">ESF project page</a>;<a href=""http://www.entrepreneurshipindenmark.dk"">Entrepreneurship in Denmark</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Competitiveness;Investment for growth,"Jobs, Growth and Investment",1073826,8590604,DG EMPL,English
111,,More qualified work force – more secure society,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/estonia.jpg,"<p>Re-entering the job market after a spell in prison is a path with many pitfalls. Helping inmates maintain the habit of working provides them with a valuable experience. In Ida-Virumaa this project offered them job-based training in prison and supported prisoners' access to jobs. Thanks to the support of the ESF, prisoners received training in areas including sewing, painting and woodworking. The project also helped prisoners find jobs in private companies. Businesses that hired a prisoner received wage subsidies and support for organising transportation between workplace and prison.</p>","The initiative has triggered tangible results for prisoners, local businesses, and the region as a whole. Improving the chances of employment for prisoners is of course one of the most important aspects of successful re-socialisation efforts. By the summer of 2012, 659 participants had already found a job, providing employers with a reliable workforce at little expense. More than 1 000 prisoners took part in the project.","AS Eesti Vanglatööstus, Estonia",,Ida-Virumaa,41319,Ida Viru Maakond,EE,59.3602115,27.3980508,,1230764400 to 1325372400,1230764400 to 1325372400,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=441"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",989550,1164144,DG EMPL,English
112,,Foundation 'Vaata Maailma',,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/fit_for_it.jpg,"<p>To deal with the shortage of qualified IT specialists in Estonia, the Foundation 'Vaata Maailma' has set up a project aimed to provide a high-quality and up-to-date training in IT technology to long-term unemployed so that they can find work as IT specialists. Participants followed a specially designed training program that concluded with final exams conducted at sites with operational IT systems. The training lasted 37 days and was followed by up to 2 months of hands on work experience. Career counselling was also provided to help participants launch their new careers.</p>","The training achieved its aims. 22 enterprises gave participants the chance to gain practical experience. The companies included EMT, Elion Ettevõtted and the Tallinn Central Library. Out of 65 participants, 60 went through the 40-day work practice, and 55 were employed after the project concluded.","SA Innove, Estonia",,Dvigatel,11415,Tallinn,EE,59.4263,24.7991,,1293836400 to 1325372400,1293836400 to 1325372400,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1101"">ESF project page</a>;<a href=""http://www.vaatamaailma.ee/projektid"">Foundation ‘Vaata Maailma’</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Competitiveness;Education & training;Information and communications technology - ICT,"Jobs, Growth and Investment",279775,334880,DG EMPL,English
113,,Petra – Youth to Work and Education,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/finaland.jpg,"<div class=""txt_caption"">This project, based in the city of Vantaa, is offering in-depth support to help young people find work, take on-the-job training or complete their education. Guidance is provided by a professional network that is experienced in offering employment services, training placements and educational activities. Local youth service teams are involved in the project, which also has connections with more than 200 local enterprises. Petra has also developed links with Vantaa's welfare and healthcare services to ensure participants get all the help they need.</div>
<p> </p>",The 'Petra–Youth to Work and Education' project has helped more than 5 000 young people.,"City of Vantaa, Finland",,Kaupungintalo,1300,Vantaa,FI,60.29374,25.0379,,1262300400 to 1388530800,1262300400 to 1388530800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=901"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",2125418,3053200,DG EMPL,English
114,,Open Vocational College and Counselling and Guidance Centre,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/finland2.jpg,"<p>This project supports unemployed, socially marginalised young people by offering vocational training, career guidance and counselling. An 'Open College' has been established for 15-24 year olds who either are unemployed or prematurely left the education system. The college provides vocational training modules, which allow participants to get acquainted with different sectors of the economy. Alternative learning methods are used in order to bring flexibility to the teaching process. Those enrolled in the project get the chance to acquire upper secondary vocational qualifications.</p>",More than 1 250 students participated in this project.,"Open Vocational College and Counselling and Guidance Office, Finland",,"81200 Joensuu, North Karelia Finland",81200,Joensuu,FI,62.8157999,30.225082,,1262300400 to 1388530800,1262300400 to 1388530800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=862"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",4100000,4300000,DG EMPL,English
115,,New approaches to apprenticeships,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/france.jpg,"<p>A successful apprenticeship involves training which is adapted to the specific needs of the apprentices and the companies concerned. Based on this observation, the comprehensive Centre for Apprentice Training (CFA) in Marzy, France, has reorganised its courses with support from the European Social Fund. The new training programme offers a style of teaching that provides the apprentices with tailored content which is accessible remotely. In order to better target the skills to be worked on, each apprentice is now monitored throughout their studies.</p>","The programme, launched in 2009, has been very successful. The absentee rate has been considerably reduced: only 2.5% of apprentices now miss their classes because of work.","Association for the Promotion of Learning and Training (APRAFO) — Comprehensive CFA, Marzy, France",,"Marzy, France",58160,Marzy,FR,47.0022869,3.0811641,,1230764400 to 1325372400,1230764400 to 1325372400,,"<a href=""http://ec.europa.eu/social/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=621"">ESF project page</a>;<a href=""http://www.cfapmarzy.com"">Association for the Promotion of Learning and Training (APRAFO) — Comprehensive CFA, Marzy</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",675497,303973,DG EMPL,English
116,,Second Chance School,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/france2.jpg,"<p>To help those who have left the school system without any qualifications to become more employable, the Midi-Pyrénées region of France has created the 'Second Chance School'. The project, launched thanks to the financial support of the European Social Fund (ESF), encourages the beneficiaries to reconsider their professional and social situation by providing them with a pathway to employment, combining professional and social support. The young participants study and complete various traineeships. Each student is individually guided by a coach throughout the training programme.</p>",Participants: 1 197 students between 2004 and 2013.,"Regional Second Chance School, France",,Capitole,31555,Toulouse,FR,43.60635,1.4356166,,1041375600 to 1420066800,1041375600 to 1420066800,http://www.er2c-mip.com/,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=624"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",449520,1805071,DG EMPL,English
117,,100 additional training places for young people with disabilities,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/100_extra_opportunities.jpg,"<p>This project in North-Rhine Westphalia offers guided and supported vocational training for young people with disabilities. The aim is to integrate them into the mainstream labour market. The participants successfully learn to take on more than 120 different job roles – from media designer to retailer. The key factor is that their choice of occupation matches their talents and interests. They enter into a training agreement with the local vocational training centres, which provide the young people with a coach and individual tutoring.</p>","Since the 'campaign 100' was launched in January 2007, over 1 000 young people have received the additional opportunity of a traineeship in around 850 partner companies. The number of participants is over 150 per year.","Ministry of Labour, Integration and Social Affairs of the State of North-Rhine Westphalia, Germany",,"Flittard, Köln",51061,Flittard,DE,50.9992375,6.9751973,,1136070000 to 1420066800,1136070000 to 1420066800,,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1637"">ESF project page</a>;<a href=""http://www.arbeit.nrw.de/ausbildung/ausbildung_foerdern/ausbildung_mit_behinderung/index.php"">Ministry of Labour, Integration and Social Affairs of the State of North-Rhine Westphalia. Article about the project</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",25200000,43200000,DG EMPL,English
118,,JUNIOR – Students experience business,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/junior.jpg,"<p>With JUNIOR, students learn how to develop and implement a business idea and to experience business. Under expert guidance they work together to set up so-called 'student companies'. Through this, the students develop an important set of skills such as teamwork, independence and personal responsibility. They learn presentation techniques, and look at the structure and organisation of companies. Accounting, marketing and corporate management are also involved. Some business ideas are so successful that they continue after the JUNIOR project year.</p>","JUNIOR has been running in Germany for 20 years, with great success; up to now 92 000 pupils have implemented their business ideas. In Hessen, the programme has been co-financed by the ESF for 12 years with over 3 600 participants so far.","Institut der deutschen Wirtschaft Köln JUNIOR GmbH, Germany",,"Bad Wildungen, Germany",34537,Bad Wildungen,DE,51.119619,9.136091,,757378800 to 1420066800,757378800 to 1420066800,http://www.junior-programme.de,"<a href=""http://ec.europa.eu/esf/home.jsp?langId=en"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1657"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training,"Jobs, Growth and Investment",987530,,DG EMPL,English
119,,Young Self Employed - Young Scientists 2009,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/young_self_employed_0.jpg,"<p>What better way to support innovation and increase employment than helping young scientists branch out on their own? That's exactly what<strong> </strong>the programme 'Young Self-Employed Scientists' is attempting to do by offering grants that allow young lawyers, doctors, engineers, and pharmacists to establish their own small enterprises across Greece. After being supported through a dedicated programme for the development of a business plan, participants receive a grant of EUR 15 000 from the Greek Manpower Employment Organisation, which allows them to build up their business.</p>","Around 6000 young scientists throughout Greece have received this significant boost. Results from a survey on a similar project show that, one year after participation, 74% of entrepreneurs were still self-employed and 63% reported stable or rising turnover or profits. Meanwhile, in every new business an average of 0.5 additional jobs was created.",Greek Manpower Employment Organisation (OAED),,"Alimos, Greece",17400,Alimos,EL,37.915492,23.706725,,1230764400 to 1293836400,1230764400 to 1293836400,,"<a href=""http://ec.europa.eu/esf/home.jsp"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=424"">ESF project page</a>;<a href=""http://www.oaed.gr/"">Greek Manpower Employment Organisation (OAED)</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Competitiveness;Research & innovation,"Jobs, Growth and Investment",107100000,126000000,DG EMPL,English
120,,Graduate recruitment grants,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/grants_help_young_people_find_full-time_employment.jpg,"<p>The aim of 'Graduate recruitment grants,' co-financed by the European Social Fund, is to help highly educated young people 'get a foot in the door'. The programme strives to boost full-time employment in the private sector by subsidising positions in enterprises for 24 months. In exchange, participating enterprises commit to preserving these positions for at least three or more months. Thus, the programme offers young unemployed people full-time employment for at least 27 months, with the prospect that their employment relationship will be extended beyond the initial period.</p>","The programme has been very well received by businesses and therefore its budget has been increased from EUR 75 million to EUR 108 million, making it possible to fund up to 7 200 jobs.","OAED, Intermediate Body in the Operational Programme Human Resources Development 2007-2013, Greek national government, Greece",,"Athens, Greece",10431,Athens,EL,37.9843892,23.7274669,,1325372400 to 1420066800,1325372400 to 1420066800,,"<a href=""http://ec.europa.eu/esf/home.jsp"">European Social Fund</a>;<a href=""http://ec.europa.eu/esf/main.jsp?catId=46&langId=en&projectId=1182"">ESF project page</a>","Smart and Inclusive Growth: Economic, social and territorial cohesion",European Structural and Investment Funds,Employment;Education & training;Investment for growth,"Jobs, Growth and Investment",92042487,108000000,DG EMPL,English
